sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
Albany,03/01/2020,10.0,13.0,19.0,4.0,7.0,-1.0,03/01/2020,Albany,0.0,0.0,0.0,0.0
Albany,03/02/2020,11.0,15.0,29.0,5.0,3.0,0.0,03/02/2020,Albany,0.0,0.0,0.0,0.0
Albany,03/03/2020,8.0,15.0,41.0,8.0,3.0,-1.0,03/03/2020,Albany,0.0,0.0,0.0,0.0
Albany,03/04/2020,7.0,8.0,6.0,2.0,3.0,0.0,03/04/2020,Albany,0.0,0.0,0.0,0.0
Albany,03/05/2020,5.0,13.0,18.0,2.0,3.0,-1.0,03/05/2020,Albany,0.0,0.0,3.0,3.0
Albany,03/06/2020,6.0,10.0,12.0,7.0,3.0,0.0,03/06/2020,Albany,0.0,0.0,0.0,3.0
Albany,03/07/2020,12.0,12.0,78.0,11.0,6.0,-1.0,03/07/2020,Albany,0.0,0.0,5.0,8.0
Albany,03/08/2020,9.0,13.0,186.0,7.0,2.0,-1.0,03/08/2020,Albany,0.0,0.0,2.0,10.0
Albany,03/09/2020,10.0,16.0,114.0,4.0,2.0,-1.0,03/09/2020,Albany,0.0,0.0,3.0,13.0
Albany,03/10/2020,0.0,9.0,-2.0,0.0,2.0,1.0,03/10/2020,Albany,0.0,0.0,2.0,15.0
Albany,03/11/2020,3.0,15.0,11.0,2.0,0.0,1.0,03/11/2020,Albany,0.0,0.0,13.0,28.0
Albany,03/12/2020,2.0,32.0,6.0,-3.0,-1.0,1.0,03/12/2020,Albany,1.0,1.0,11.0,39.0
Albany,03/13/2020,-7.0,34.0,-1.0,-8.0,-7.0,5.0,03/13/2020,Albany,2.0,3.0,26.0,65.0
Albany,03/14/2020,-15.0,18.0,64.0,-13.0,-4.0,4.0,03/14/2020,Albany,3.0,6.0,108.0,173.0
Albany,03/15/2020,-19.0,11.0,99.0,-15.0,-7.0,3.0,03/15/2020,Albany,6.0,12.0,108.0,281.0
Albany,03/16/2020,-11.0,28.0,5.0,-21.0,-20.0,8.0,03/16/2020,Albany,11.0,23.0,140.0,421.0
Albany,03/17/2020,-33.0,17.0,-22.0,-28.0,-35.0,15.0,03/17/2020,Albany,13.0,36.0,267.0,688.0
Albany,03/18/2020,-36.0,7.0,23.0,-30.0,-40.0,17.0,03/18/2020,Albany,7.0,43.0,331.0,1019.0
Albany,03/19/2020,-40.0,4.0,-16.0,-40.0,-43.0,18.0,03/19/2020,Albany,18.0,61.0,450.0,1469.0
Albany,03/20/2020,-43.0,7.0,5.0,-45.0,-46.0,21.0,03/20/2020,Albany,27.0,88.0,499.0,1968.0
Albany,03/21/2020,-49.0,-5.0,133.0,-37.0,-27.0,11.0,03/21/2020,Albany,35.0,123.0,577.0,2545.0
Albany,03/22/2020,-54.0,-15.0,90.0,-52.0,-29.0,10.0,03/22/2020,Albany,4.0,127.0,197.0,2742.0
Albany,03/23/2020,-60.0,-29.0,-55.0,-57.0,-56.0,23.0,03/23/2020,Albany,19.0,146.0,144.0,2886.0
Albany,03/24/2020,-57.0,-19.0,-47.0,-54.0,-56.0,24.0,03/24/2020,Albany,6.0,152.0,198.0,3084.0
Albany,03/25/2020,-54.0,-18.0,-27.0,-56.0,-56.0,24.0,03/25/2020,Albany,19.0,171.0,93.0,3177.0
Albany,03/26/2020,-51.0,-11.0,43.0,-53.0,-55.0,23.0,03/26/2020,Albany,16.0,187.0,112.0,3289.0
Albany,03/27/2020,-52.0,-15.0,41.0,-52.0,-55.0,24.0,03/27/2020,Albany,8.0,195.0,101.0,3390.0
Albany,03/28/2020,-59.0,-25.0,33.0,-59.0,-37.0,14.0,03/28/2020,Albany,10.0,205.0,73.0,3463.0
Albany,03/29/2020,-59.0,-30.0,-15.0,-64.0,-36.0,13.0,03/29/2020,Albany,12.0,217.0,61.0,3524.0
Albany,03/30/2020,-51.0,-19.0,-37.0,-60.0,-56.0,23.0,03/30/2020,Albany,9.0,226.0,72.0,3596.0
Albany,03/31/2020,-52.0,-15.0,-20.0,-56.0,-58.0,23.0,03/31/2020,Albany,14.0,240.0,108.0,3704.0
Albany,04/01/2020,-49.0,-12.0,12.0,-53.0,-57.0,23.0,04/01/2020,Albany,13.0,253.0,106.0,3810.0
Albany,04/02/2020,-52.0,-12.0,-13.0,-58.0,-58.0,24.0,04/02/2020,Albany,14.0,267.0,105.0,3915.0
Albany,04/03/2020,-54.0,-15.0,-39.0,-61.0,-58.0,27.0,04/03/2020,Albany,26.0,293.0,123.0,4038.0
